"to_multiple","from","cc","sent_email","time","image","attach","dollar","winner","inherit","viagra","password","num_char","line_breaks","format","re_subj","exclaim_subj","urgent_subj","exclaim_mess","number","ID"
0,1,0,0,"2012-01-13 11:00:00",0,0,2,"no",0,0,0,17.549,124,1,0,0,0,4,"small","BY0Tw0t9xI"
0,1,0,1,"2012-01-13 12:52:56",0,0,0,"no",0,0,0,3.951,78,1,1,0,0,0,"small","g479cUTfoD"
0,1,1,1,"2012-01-13 11:43:08",0,0,0,"no",0,0,0,1.34,32,1,1,0,0,0,"small","3wbO7GAvU4"
0,1,0,0,"2012-01-13 13:41:50",0,0,0,"no",0,0,0,8.88,147,1,0,0,0,3,"small","a6kAYBNiQs"
0,1,0,0,"2012-01-14 08:03:23",0,0,4,"no",1,0,0,7.723,189,1,0,0,0,5,"small","fMlQUeCM3N"
0,1,1,1,"2012-01-14 13:21:28",0,0,2,"no",0,0,0,7.178,155,1,1,0,0,2,"small","PuHvyQs7DK"
0,1,0,0,"2012-01-15 08:01:51",0,0,4,"no",1,0,0,7.55,186,1,0,0,0,5,"small","st2miVgcQV"
0,1,0,0,"2012-01-15 12:08:46",0,0,2,"no",0,0,0,2.506,40,0,0,0,0,0,"small","oNPuDlcmUV"
0,1,0,0,"2012-01-15 12:11:26",0,0,2,"no",0,0,0,9.719,178,1,0,0,0,0,"big","bfze9qS15o"
0,1,0,0,"2012-01-15 05:24:15",0,0,0,"no",0,0,0,5.273,93,1,0,0,0,3,"small","X9QfMjZfrX"
0,1,0,0,"2012-01-15 14:51:03",0,0,4,"no",0,0,0,4.447,87,0,0,0,0,1,"small","XeSbAIGSgT"
0,1,0,0,"2012-01-01 11:21:55",0,0,0,"no",0,0,0,3.796,71,1,0,0,0,4,"small","7tolLOgLi7"
0,1,0,0,"2012-01-01 18:16:08",0,0,0,"no",0,0,0,2.705,35,1,0,0,0,0,"none","9s4vioxPeI"
1,1,0,0,"2012-01-03 11:33:27",0,0,0,"no",0,0,0,0.443,13,0,0,0,0,0,"small","LDl3PM7hhY"
0,1,4,0,"2012-01-04 07:36:23",0,2,0,"no",0,0,0,0.631,28,0,0,0,0,2,"none","qWm6QjXdwE"
0,1,0,0,"2012-01-04 10:55:45",0,0,1,"yes",0,0,0,0.963,37,0,1,0,0,0,"none","sEU4Nq2X0E"
0,1,0,0,"2012-01-04 15:19:35",0,0,0,"yes",0,0,0,33.809,549,1,0,0,0,28,"small","XOqTXEzf0C"
0,1,0,0,"2012-01-05 04:20:53",0,0,2,"no",0,8,0,0.597,9,1,0,1,0,4,"small","V00R4oH0Rg"
0,1,0,0,"2012-01-16 02:54:49",0,0,0,"no",0,0,0,0.466,13,1,0,0,0,0,"none","qIbigpbDp3"
0,1,0,0,"2012-01-17 06:56:28",0,0,0,"no",0,0,0,0.652,11,1,0,0,0,1,"small","wBw8vEWkR4"
0,1,0,0,"2012-01-22 03:13:00",0,0,0,"no",0,0,0,1.05,15,1,0,0,0,1,"small","mGfhdc6FSd"
0,1,0,0,"2012-01-23 08:58:41",0,0,0,"no",0,0,0,0.234,9,1,1,0,0,0,"none","g0awVgEW9O"
0,1,4,0,"2012-01-14 01:03:03",0,2,0,"no",0,0,0,0.424,22,0,0,0,0,0,"none","SrqvFYhglQ"
0,1,0,0,"2012-01-15 10:58:56",0,0,0,"no",0,0,0,8.78,146,1,0,0,0,7,"small","KRLurTokS8"
0,1,0,0,"2012-01-15 14:27:24",0,0,0,"no",0,0,0,6.783,115,1,0,0,0,1,"small","iXEX39NmnS"
0,1,0,0,"2012-01-15 15:25:06",0,0,0,"no",0,0,0,6.917,113,1,0,0,0,1,"small","JUKXX62Jvi"
1,1,0,0,"2012-01-15 19:46:16",0,1,2,"no",0,0,0,0.824,37,0,0,0,0,4,"small","y20szW15Hl"
0,1,0,0,"2012-01-15 17:39:22",0,0,1,"no",0,0,18,20.021,240,1,0,0,0,22,"small","VxUvbjsCni"
0,1,3,0,"2012-01-15 22:57:00",0,0,0,"no",0,0,0,4.75,114,1,0,0,0,0,"big","DuVB4aqzCL"
0,1,0,0,"2012-01-16 08:03:13",0,0,12,"no",1,0,0,11.626,266,1,0,0,0,7,"small","RR6HQDwUzc"
0,1,2,1,"2012-01-16 11:58:26",0,0,0,"no",0,0,0,12.468,353,1,1,0,0,4,"big","EVSIfqgC7O"
0,1,0,0,"2012-01-17 06:46:55",0,0,0,"no",0,0,0,0.214,12,0,0,0,0,0,"none","jpcXUoWBpZ"
0,1,64,0,"2012-01-17 08:05:51",0,0,0,"no",0,0,0,4.766,92,1,0,0,0,1,"small","gWhQseWaiN"
0,1,0,0,"2012-01-17 05:58:13",0,0,0,"no",0,0,0,34.104,608,1,0,0,0,0,"small","OrnWwzE8ms"
0,1,1,1,"2012-01-17 11:35:54",0,0,0,"no",0,0,0,3.163,88,1,1,0,0,2,"big","srf2s5hDH4"
0,1,0,0,"2012-01-17 11:31:44",0,0,0,"no",0,0,0,1.824,42,0,0,0,0,3,"none","NR0v4mvMak"
0,1,0,1,"2012-01-17 12:55:31",0,0,0,"no",0,0,0,0.609,16,0,0,0,0,4,"none","mHqqjmtdNw"
0,1,0,0,"2012-01-17 10:43:35",0,0,0,"no",0,0,0,6.592,135,1,0,0,0,0,"small","VM317VTrd7"
1,1,0,0,"2012-01-17 13:56:39",0,0,0,"no",0,0,0,7.29,83,0,0,0,0,0,"big","hsGqrfR6rC"
0,1,0,1,"2012-01-17 14:04:49",1,1,0,"no",0,0,0,0.069,7,1,0,0,0,0,"none","pWkc6D08pj"
0,1,0,0,"2012-01-17 14:18:52",0,0,0,"no",0,0,0,63.127,1128,1,0,0,0,89,"big","kZTRIuBKST"
0,1,0,1,"2012-01-17 15:01:07",0,0,0,"no",0,0,0,0.326,10,1,0,0,0,0,"none","N8itsG1OH6"
0,1,0,0,"2012-01-17 20:20:31",0,0,11,"no",0,0,0,15.602,350,1,0,1,0,2,"small","WNhYt3jNlV"
0,1,0,0,"2012-01-17 15:35:51",0,0,12,"no",0,0,0,17.376,215,1,0,1,0,18,"small","f0CNJTkR9L"
0,1,0,0,"2012-01-17 22:02:50",0,0,1,"no",0,0,0,1.183,32,0,0,0,0,0,"small","WVV6ucIO4b"
0,1,0,0,"2012-01-18 10:26:15",0,0,4,"no",0,0,0,1.047,31,0,0,0,0,2,"small","rtMLhu7vQa"
1,1,0,0,"2012-01-18 05:43:23",0,0,0,"no",0,0,0,3.401,59,0,0,0,0,0,"small","OfKcQOVIXn"
1,1,0,0,"2012-01-18 05:48:43",0,0,0,"no",0,0,0,1.239,29,0,0,0,0,0,"small","FzyhJcQfrX"
0,1,0,0,"2012-01-18 06:15:17",0,0,4,"no",0,0,0,9.985,299,1,0,0,0,1,"small","H2ChN8w7cq"
0,1,0,0,"2012-01-18 06:41:52",0,0,0,"no",0,0,0,1.781,11,0,0,0,0,0,"none","4jyax5qR4w"
0,1,0,0,"2012-01-18 06:45:35",0,0,0,"no",0,0,0,0.123,8,1,1,0,0,0,"none","gGLvws8DWf"
0,1,0,0,"2012-01-18 11:47:45",0,0,4,"no",0,0,0,0.984,33,0,0,0,0,1,"small","pRmTskMtfy"
1,1,0,0,"2012-01-18 08:24:59",1,1,0,"no",1,0,0,25.599,674,1,0,0,0,31,"small","mYtnctZeCS"
0,1,1,1,"2012-01-18 08:49:40",0,0,0,"no",0,0,0,6.244,177,1,1,0,0,0,"small","UyfDTYo4Tx"
1,1,0,0,"2012-01-18 08:49:46",0,0,0,"no",0,0,0,0.455,21,0,0,0,0,0,"small","0QUD9qAFn6"
0,1,1,1,"2012-01-18 08:54:38",0,0,0,"no",0,0,0,11.412,259,1,1,0,0,2,"small","ZroZcu8MuA"
0,1,1,1,"2012-01-18 08:55:23",0,0,0,"no",0,0,0,14.634,305,1,1,0,0,2,"small","ZKjV8w4QU2"
0,1,0,0,"2012-01-18 09:25:59",0,0,10,"no",0,0,0,8.002,137,1,0,1,0,10,"small","zu3kjpwL2c"
0,1,0,1,"2012-01-18 09:35:30",0,0,0,"no",0,0,0,15.265,348,1,0,0,0,2,"big","9QvZbToMxa"
0,1,0,1,"2012-01-18 10:59:24",0,0,0,"no",0,0,0,0.27,11,0,0,0,0,0,"none","l6jnwy4no6"
0,1,0,1,"2012-01-18 12:39:00",0,0,0,"no",0,0,0,0.531,8,1,0,0,0,0,"none","RK0gn0dETn"
1,1,0,1,"2012-01-18 11:55:21",0,0,0,"no",0,0,0,7.806,315,1,1,0,0,4,"big","C650RrwxmR"
0,1,0,0,"2012-01-18 18:58:19",0,0,23,"no",0,0,0,4.566,91,1,0,0,0,1,"small","WK8cOu77ry"
0,1,0,0,"2012-01-18 15:34:39",0,0,18,"no",0,0,0,14.268,195,1,0,1,0,24,"small","q7LzQ20gXT"
0,1,0,0,"2012-01-19 06:22:37",0,0,0,"no",0,0,0,0.73,15,1,0,0,0,4,"none","i601YTjgWu"
1,1,15,0,"2012-01-19 08:32:25",0,0,0,"no",0,0,0,4.517,67,0,0,0,0,0,"big","xmKsaCbeSf"
0,1,0,1,"2012-01-19 10:29:54",0,1,0,"no",0,0,0,0.824,17,1,0,0,0,0,"none","6RsTp6efq4"
0,1,0,1,"2012-01-19 10:47:15",0,0,0,"no",0,0,0,11.427,306,1,1,0,0,0,"small","ffsfinIkyg"
0,1,0,1,"2012-01-19 16:17:44",0,0,0,"no",0,0,0,4.92,79,1,1,0,0,5,"small","nlksZuaKFd"
0,1,0,1,"2012-01-19 17:34:04",0,0,0,"no",0,0,0,8.781,228,1,1,0,0,5,"big","q5dF2KA3Fo"
0,1,0,1,"2012-01-19 19:23:45",0,0,0,"no",0,0,0,4.237,69,1,1,0,0,0,"small","LNgLIwCSoy"
0,1,0,0,"2012-01-20 08:00:18",0,0,4,"no",1,0,0,7.759,192,1,0,0,0,5,"small","JH3kKlqXym"
0,1,0,0,"2012-01-20 11:10:39",0,0,0,"no",0,0,0,3.258,64,1,0,0,0,4,"none","A3tzOV2YZU"
0,1,1,1,"2012-01-20 06:53:34",0,0,0,"no",0,0,0,14.982,270,1,1,0,0,0,"big","EDEXqllZjK"
0,1,0,0,"2012-01-20 09:01:03",0,0,0,"no",0,0,0,1.49,40,0,0,0,0,3,"small","Lhc01GfMz9"
1,1,1,0,"2012-01-20 10:56:54",0,1,0,"no",0,0,0,5.468,110,1,0,0,0,0,"small","oBAAmVNkoX"
1,1,0,0,"2012-01-20 11:52:57",0,0,0,"no",0,0,0,8.378,173,1,0,0,0,0,"small","9F379gQbjc"
1,1,0,0,"2012-01-20 09:14:54",0,0,0,"no",0,0,0,1.109,23,0,0,0,0,0,"small","NFxmqSRwex"
0,1,9,1,"2012-01-20 11:21:43",0,0,2,"no",0,0,0,9.856,259,1,1,0,0,3,"small","WfxFXvsgxa"
0,1,0,0,"2012-01-20 17:16:18",0,0,0,"no",0,0,0,24.144,451,1,0,0,0,2,"small","x5ffueYnjZ"
0,1,0,1,"2012-01-20 23:41:11",0,0,0,"no",0,0,0,0.225,7,0,0,0,0,0,"none","Iasp4K5RBW"
0,1,0,0,"2012-01-21 08:00:33",0,0,18,"no",1,0,0,13.724,307,1,0,0,0,8,"small","Oh1kOf9bUa"
0,1,0,0,"2012-01-21 11:18:21",0,0,0,"no",0,0,0,2.25,60,1,0,0,0,4,"small","nQLMYX8kVm"
0,1,0,1,"2012-01-21 14:01:51",0,0,0,"no",0,0,2,2.292,41,1,0,0,0,0,"small","3Hcv1YPgWe"
0,1,0,1,"2012-01-21 18:14:35",2,2,0,"no",0,0,6,11.541,236,1,1,0,0,0,"big","ejjVKA2mNZ"
0,1,0,0,"2012-01-21 19:26:59",0,0,0,"no",0,0,0,9.199,150,1,0,0,0,1,"small","HcGZsILwLQ"
0,1,0,0,"2012-01-22 08:00:36",0,0,8,"no",1,0,0,9.898,234,1,0,0,0,6,"small","F6wRATpkcu"
0,1,0,1,"2012-01-22 06:52:40",0,0,0,"no",0,0,2,7.652,136,1,1,0,0,2,"small","1wriCJywvJ"
0,1,0,1,"2012-01-22 07:45:22",0,0,0,"no",0,0,2,10.368,194,1,1,0,0,2,"small","Mswu7CMnLX"
0,1,0,0,"2012-01-22 06:00:36",0,0,0,"no",0,0,0,6.757,115,1,0,0,0,3,"small","97qrLm6POH"
0,1,7,0,"2012-01-22 06:53:39",0,0,0,"no",0,0,0,6.425,143,1,1,0,0,4,"big","0pQiXoYMHc"
0,1,7,0,"2012-01-22 11:43:03",0,0,0,"no",0,0,0,2.577,76,0,1,0,0,4,"small","4QhPMbSWtG"
1,1,0,0,"2012-01-22 12:09:42",0,0,0,"no",0,0,0,0.826,17,0,0,1,0,1,"small","lSWjT0JhO8"
0,1,0,0,"2012-01-22 13:22:07",0,0,6,"no",0,0,0,19.142,257,1,0,1,0,20,"small","ADINf2aLie"
0,1,0,1,"2012-01-22 14:48:46",1,1,0,"no",0,0,0,4.444,93,1,0,0,0,2,"small","ipQM8S3sGM"
0,1,0,0,"2012-01-22 15:30:04",0,0,0,"no",0,0,0,0.88,27,0,0,0,0,1,"none","0oPZJNBWE0"
0,1,0,0,"2012-01-22 13:23:41",0,0,0,"no",6,0,0,9.806,180,1,0,0,0,1,"small","Wf38sBSKqT"
0,1,0,1,"2012-01-22 19:44:58",0,0,0,"no",0,0,0,3.618,60,1,1,0,0,0,"small","6ox7SmJYfb"
1,1,1,1,"2012-01-22 19:49:58",0,0,0,"no",0,0,0,2.14,43,1,0,0,0,0,"none","6zWVVqWawk"
