to_multiple,from,cc,sent_email,time,image,attach,dollar,winner,inherit,viagra,password,num_char,line_breaks,format,re_subj,exclaim_subj,urgent_subj,exclaim_mess,number,ID,spam
0,1,0,1,2012-01-05 10:12:10,0,0,0,no,0,0,0,6.64,99,0,1,0,0,3,small,1Y8p8tajSV,spam
1,1,0,1,2012-03-20 13:53:46,0,0,0,no,0,0,0,1.517,31,0,1,0,0,0,small,NKKgeav5mG,spam
0,1,0,0,2012-03-18 19:28:02,0,0,0,no,0,0,0,0.899,27,0,0,0,0,1,none,Y73vj7xPGK,spam
0,1,0,0,2012-03-06 04:00:03,0,0,0,no,0,0,0,8.625,184,1,0,0,0,1,small,BZFzgjZbdN,spam
0,1,0,1,2012-02-08 06:17:03,0,0,0,no,0,0,0,0.558,17,1,1,0,0,2,small,P0HCIbVQBc,not_spam
0,1,0,0,2012-03-23 14:49:23,0,0,0,no,0,0,0,1.507,36,1,0,0,0,2,none,vWhnGpYXb8,spam
0,1,0,0,2012-01-17 06:46:55,0,0,0,no,0,0,0,0.214,12,0,0,0,0,0,none,jpcXUoWBpZ,spam
0,1,0,1,2012-02-10 03:03:16,0,0,0,no,0,0,0,1.225,45,0,1,0,0,0,small,a3QHjS2MLu,spam
0,1,0,1,2012-02-02 17:58:18,0,0,0,no,0,0,0,4.375,107,1,1,0,0,6,big,SdR1IZ3izz,spam
0,1,0,0,2012-02-20 19:04:13,0,0,0,no,0,0,0,0.693,25,1,0,0,0,2,small,Gl4iwZcR3U,not_spam
0,1,0,0,2012-03-26 23:57:21,0,0,0,no,0,0,0,0.775,15,1,0,0,0,1,small,fkmm4edOY3,not_spam
1,1,0,0,2012-02-07 06:49:53,0,0,0,no,0,0,0,3.662,50,0,0,1,0,1,small,lh9Kwp5Tmv,spam
0,1,0,0,2012-02-07 18:29:35,0,0,0,no,0,0,0,29.059,586,1,0,0,0,0,small,qd8ne53yon,not_spam
0,1,0,1,2012-01-18 12:39:00,0,0,0,no,0,0,0,0.531,8,1,0,0,0,0,none,RK0gn0dETn,spam
0,1,0,1,2012-03-29 14:29:50,0,0,22,no,0,0,0,4.494,84,1,1,0,0,0,small,0bCyj5fAfn,not_spam
0,1,0,0,2012-01-18 15:34:39,0,0,18,no,0,0,0,14.268,195,1,0,1,0,24,small,q7LzQ20gXT,spam
0,1,0,1,2012-01-26 09:56:03,0,0,0,no,0,0,0,1.637,37,1,1,0,0,2,small,F4VIkSLoc8,spam
0,1,0,0,2012-03-24 03:34:17,0,0,0,no,0,0,0,12.376,198,1,0,0,0,1,small,NCwsHZDwjO,spam
1,1,1,1,2012-03-25 15:11:29,0,0,12,no,0,0,0,7.955,268,1,0,0,0,1,big,wzAmvkOU8J,not_spam
0,1,0,0,2012-03-01 08:02:14,0,0,10,no,1,0,0,14.65,301,1,0,0,0,14,small,tEhfjm4Xbr,not_spam
1,1,0,0,2012-01-05 13:28:45,0,0,0,no,0,0,0,2.881,50,0,0,0,0,0,small,LOk83fs3hF,not_spam
0,1,0,1,2012-02-01 21:34:08,0,0,0,no,0,0,0,0.833,20,1,0,0,0,0,none,QWOuDxQr1K,not_spam
0,1,0,1,2012-01-19 19:23:45,0,0,0,no,0,0,0,4.237,69,1,1,0,0,0,small,LNgLIwCSoy,spam
0,1,0,0,2012-02-24 11:48:03,0,0,0,no,0,0,0,2.851,70,1,0,0,0,0,big,JOPvzGgXwo,not_spam
0,1,0,0,2012-02-24 20:08:59,0,0,0,no,0,0,0,8.365,17,1,0,0,0,6,small,Ck4XUnlVMC,spam
1,1,0,1,2012-01-09 08:44:05,0,0,0,no,0,0,0,0.406,13,1,0,0,0,0,none,0WHL3uR7tN,spam
0,1,0,0,2012-03-15 14:33:33,0,0,0,no,0,0,0,2.569,67,0,1,0,0,2,small,cxzBimk00K,not_spam
1,1,0,0,2012-01-22 12:09:42,0,0,0,no,0,0,0,0.826,17,0,0,1,0,1,small,lSWjT0JhO8,not_spam
0,1,0,0,2012-02-15 20:53:19,0,0,0,no,0,0,0,26.807,664,1,0,0,0,1,small,cdE8HHlkGG,not_spam
0,1,0,0,2012-03-24 20:11:41,0,0,0,no,0,0,0,0.75,17,0,0,0,0,1,small,vjgrzSnd8Y,spam
0,1,0,0,2012-02-26 16:05:56,0,0,0,no,0,0,0,0.361,13,0,0,0,0,0,none,oaSJCidePP,not_spam
0,1,0,0,2012-03-27 07:00:04,0,0,0,no,0,0,0,6.922,172,1,0,0,0,0,small,ixbVH7uoRj,spam
0,1,0,1,2012-03-08 09:41:41,0,0,0,no,0,0,0,11.728,336,1,1,0,0,20,small,pfHN58Ft88,not_spam
1,1,0,0,2012-01-09 09:43:28,0,0,0,no,0,0,0,3.991,47,0,0,0,0,0,small,eKEunTBjPJ,spam
1,1,0,0,2012-03-09 08:30:14,0,0,0,no,0,0,0,3.125,52,0,0,0,0,0,small,IATCD0lCgY,not_spam
1,1,0,1,2012-02-27 08:40:45,0,0,1,no,0,0,0,38.668,505,0,0,0,0,0,small,XZksQZFVtY,not_spam
0,1,0,1,2012-02-10 11:47:08,0,0,0,no,0,0,0,13.337,256,1,1,0,0,0,small,tpTXZXy4L3,not_spam
0,1,0,0,2012-02-07 08:02:03,0,0,20,no,1,0,0,17.6,377,1,0,0,0,10,small,ZPw1b2YVgj,spam
0,1,0,0,2012-01-14 08:03:23,0,0,4,no,1,0,0,7.723,189,1,0,0,0,5,small,fMlQUeCM3N,not_spam
0,1,0,1,2012-01-19 10:29:54,0,1,0,no,0,0,0,0.824,17,1,0,0,0,0,none,6RsTp6efq4,spam
0,1,0,1,2012-03-19 12:04:07,0,0,0,no,0,0,0,0.428,13,1,0,0,0,0,none,na7Wd3T8iu,not_spam
0,1,0,1,2012-01-17 14:04:49,1,1,0,no,0,0,0,0.069,7,1,0,0,0,0,none,pWkc6D08pj,not_spam
1,1,0,0,2012-01-18 08:49:46,0,0,0,no,0,0,0,0.455,21,0,0,0,0,0,small,0QUD9qAFn6,not_spam
0,1,0,1,2012-02-12 12:14:05,0,0,0,no,0,0,0,4.177,103,1,1,0,0,4,small,Vhq6smiRNE,spam
0,1,0,0,2012-02-15 21:50:15,0,0,0,no,0,0,0,26.158,652,1,0,0,0,1,small,xqdIUSU2yE,not_spam
0,1,0,0,2012-03-09 16:59:50,0,0,0,no,0,0,0,0.15,10,0,0,0,0,0,none,OcGuNWOAPW,not_spam
0,1,0,1,2012-01-26 07:12:02,0,0,2,no,0,0,0,59.007,1643,1,0,0,0,41,big,e0Ffn4NwMZ,spam
0,1,0,1,2012-02-17 08:00:26,0,0,0,no,0,0,2,10.81,295,1,0,0,0,9,big,i1KdwSCavb,spam
1,1,0,1,2012-01-24 07:28:52,0,0,0,no,0,0,0,0.332,9,0,0,0,0,0,none,etUW2U2bKn,not_spam
1,1,0,1,2012-02-09 05:47:07,0,2,0,no,0,0,0,11.958,178,0,0,0,0,0,big,k5AaY6txAr,spam
0,1,0,0,2012-03-02 15:54:52,0,0,0,no,0,0,0,13.453,195,0,0,0,0,0,none,XYOgzVzGHF,spam
0,1,0,0,2012-02-08 17:11:43,0,0,4,no,0,0,0,3.097,63,1,0,0,0,0,small,uegjs9ofpF,spam
0,1,0,0,2012-03-24 07:19:05,0,0,0,no,0,0,0,0.77,16,0,0,0,0,1,small,W9EOarWnDr,spam
0,1,0,0,2012-03-12 14:08:00,0,0,1,no,0,0,0,2.083,18,1,0,0,0,0,small,NMmDAtSC9J,not_spam
0,1,1,1,2012-03-04 13:21:46,0,0,0,no,0,0,0,0.811,28,0,1,0,0,4,small,lWPJXOzVho,spam
0,1,0,0,2012-03-02 14:34:27,0,0,0,no,0,0,0,2.173,30,1,0,0,0,1,small,6P8SAZcO8i,spam
0,1,0,0,2012-02-10 08:01:20,0,0,24,no,1,0,0,20.469,432,1,0,0,0,11,small,XDTmgDQjKg,spam
0,1,0,0,2012-01-21 11:18:21,0,0,0,no,0,0,0,2.25,60,1,0,0,0,4,small,nQLMYX8kVm,not_spam
0,1,0,0,2012-02-14 06:48:15,0,0,0,no,0,0,0,14.043,255,1,0,0,0,2,small,1Gbs2JKZhI,not_spam
0,1,0,0,2012-03-16 11:33:21,0,0,0,no,0,0,0,27.745,683,1,0,0,0,1,small,co39rZ4c3W,spam
0,1,0,0,2012-02-16 05:48:45,0,0,0,no,0,0,0,3.72,84,1,0,0,0,0,small,gB8L7sMwYv,not_spam
0,1,0,1,2012-02-10 11:43:24,0,0,0,no,0,0,0,2.286,60,1,1,0,0,4,small,HkRPZmXjoj,spam
0,1,0,0,2012-03-04 13:06:40,0,0,16,no,0,0,4,18.464,155,1,0,0,0,0,big,hLUJP4PihU,spam
0,1,0,0,2012-02-29 13:04:19,0,0,0,no,0,0,0,0.542,14,0,0,1,0,0,small,rK3ixABzSf,not_spam
0,1,0,0,2012-01-22 06:00:36,0,0,0,no,0,0,0,6.757,115,1,0,0,0,3,small,97qrLm6POH,not_spam
0,1,0,0,2012-03-26 14:42:16,0,0,0,no,0,0,0,9.799,192,1,0,0,0,1,small,UjgaY3v9a6,spam
0,1,0,0,2012-02-05 10:36:19,0,0,0,no,0,0,0,25.534,643,1,0,0,0,1,small,fDNZidFvFp,spam
0,1,0,0,2012-03-16 18:08:53,0,0,0,no,0,0,0,1.506,30,1,0,0,0,0,small,6SPEYOqnoP,spam
0,1,0,0,2012-02-23 10:12:30,0,0,0,no,0,0,0,3.831,101,1,0,0,0,1,small,GKupjSs1E0,not_spam
0,1,0,0,2012-02-15 14:42:07,0,0,10,no,0,0,0,13.975,166,1,0,1,0,10,small,LGafVuQe61,spam
0,1,0,0,2012-02-13 10:37:51,0,0,0,no,0,0,0,25.739,646,1,0,0,0,1,small,3I7Y4DC4ui,not_spam
0,1,0,1,2012-02-10 12:15:49,0,0,0,no,0,0,0,12.151,348,1,1,0,0,10,small,useKAhP1wx,spam
0,1,0,0,2012-02-08 15:05:12,0,0,7,no,0,0,0,31.523,751,1,0,0,0,1,small,38mUJivnlY,not_spam
1,1,1,0,2012-01-20 10:56:54,0,1,0,no,0,0,0,5.468,110,1,0,0,0,0,small,oBAAmVNkoX,not_spam
0,1,2,1,2012-02-01 07:30:38,0,0,0,no,0,0,0,29.186,678,1,1,0,0,2,small,JcF9F8HzJO,not_spam
0,1,0,1,2012-01-27 14:46:57,0,0,0,no,0,0,0,4.621,90,1,0,0,0,4,small,2ao3eMzVVc,spam
0,1,0,0,2012-02-12 15:44:59,0,0,0,no,0,0,0,26.093,651,1,0,0,0,1,small,7pwV79p013,spam
1,1,0,0,2012-02-07 10:36:49,0,0,0,no,0,0,0,10.767,248,1,0,0,0,5,big,4s8xecPBy4,spam
0,1,0,0,2012-02-08 09:01:51,0,0,0,yes,0,0,1,3.208,48,0,0,0,0,2,big,nw7ONEPWJs,not_spam
0,1,0,0,2012-03-29 23:08:32,0,0,0,no,0,0,0,0.626,16,0,0,0,0,0,small,OUGswngN2a,spam
1,1,1,0,2012-02-15 05:34:41,0,0,2,no,0,0,0,11.63,175,1,1,0,0,2,small,brchafB9xm,spam
0,1,0,0,2012-03-29 03:04:05,0,0,2,no,0,0,4,30.511,496,1,0,0,0,9,big,qalRbkP2N0,not_spam
1,1,0,0,2012-03-12 06:42:54,0,0,0,no,0,0,0,1.01,24,0,0,0,0,0,small,sTVXb7X6vo,not_spam
1,1,0,1,2012-01-10 10:42:53,0,0,0,no,0,0,0,0.43,13,1,0,0,0,0,none,vk62gT8Ly3,spam
0,1,1,1,2012-03-21 08:39:21,0,0,0,no,0,0,0,14.156,300,1,1,0,0,0,small,GEcfy72vGa,spam
0,1,0,0,2012-03-29 05:51:42,0,0,0,no,0,0,0,35.776,827,1,0,0,0,4,small,PKibvVGbqg,not_spam
0,1,0,0,2012-03-15 21:58:22,0,0,0,no,0,0,0,15.32,272,1,0,0,0,2,small,5skJEJLo1J,not_spam
0,1,0,0,2012-02-28 17:42:12,0,1,0,no,0,0,0,14.64,176,1,0,0,0,0,small,YYUvpYxH1q,not_spam
0,1,1,0,2012-02-23 09:02:00,0,0,0,no,0,0,0,3.814,69,0,1,0,0,0,small,oFyVacV10w,not_spam
1,1,0,0,2012-02-28 08:00:12,0,0,0,no,0,0,0,0.298,12,0,0,1,0,0,small,cofRS7G4bO,not_spam
0,1,0,0,2012-03-04 13:53:31,0,0,0,no,0,0,0,4.646,134,1,0,0,0,2,small,Kjr2nG3Cmn,spam
1,1,0,0,2012-02-08 07:11:12,0,0,0,no,0,0,0,3.1,72,0,1,0,0,0,small,gt3CvXOGf9,spam
0,1,0,0,2012-01-30 02:30:59,0,0,0,no,0,0,0,4.826,86,1,0,0,0,5,small,ItsB7wsn6h,not_spam
0,1,1,1,2012-02-02 08:21:05,0,0,0,no,0,0,0,27.612,817,1,1,0,0,10,small,fiCW9imYHc,not_spam
0,1,0,0,2012-03-20 01:09:48,0,0,0,no,0,0,0,0.793,17,0,0,0,0,0,small,u34AfddFDk,not_spam
0,1,1,1,2012-02-04 13:35:38,0,0,0,no,0,0,0,1.938,46,0,1,0,0,1,small,clymneKGby,not_spam
0,1,0,0,2012-02-03 01:24:09,0,0,5,no,0,0,0,1.072,32,0,0,0,0,0,big,pRI6XbpiR9,not_spam
0,1,0,0,2012-02-03 02:10:21,0,0,0,no,0,0,0,13.021,216,1,0,0,0,0,small,wz9VK4ksYg,not_spam
0,1,4,0,2012-03-29 16:08:01,0,1,0,no,0,0,0,14.644,345,1,0,0,0,5,small,aifBf9RQ64,not_spam
0,1,0,1,2012-01-22 07:45:22,0,0,0,no,0,0,2,10.368,194,1,1,0,0,2,small,Mswu7CMnLX,not_spam
0,1,1,0,2012-03-28 15:37:47,0,0,0,no,0,0,0,14.693,190,1,0,0,0,2,small,LcsGDVu2of,spam
0,1,0,1,2012-03-15 06:48:19,0,0,0,no,0,0,0,1.448,32,1,1,0,0,2,small,jvfoswzujC,not_spam
0,1,2,0,2012-02-09 07:33:41,0,0,0,no,0,0,0,4.341,93,1,0,0,0,2,small,59liDNOu5P,not_spam
0,1,0,0,2012-01-24 09:43:59,0,0,4,no,0,0,0,4.575,87,0,0,0,0,1,small,uHGVCI78Cl,not_spam
0,1,0,0,2012-03-31 19:07:39,0,0,6,no,0,0,0,2.277,30,0,0,0,0,0,big,Wf0IJPmhtO,spam
0,1,0,0,2012-01-02 17:07:17,0,0,0,no,0,0,0,14.431,296,1,0,0,0,0,small,ku6NAVtlHb,spam
0,1,0,0,2012-03-02 05:13:16,0,0,0,no,0,0,0,1.577,31,1,0,1,0,2,small,kVzQfS05OD,not_spam
0,1,0,1,2012-01-23 14:48:52,0,0,0,no,0,0,0,1.931,50,1,1,0,0,4,small,KavEQAD5y6,spam
0,1,0,0,2012-02-04 06:12:04,0,0,0,no,0,0,0,1.092,15,1,1,0,0,2,small,n0d6CXtboF,spam
0,1,0,0,2012-02-05 20:25:35,0,0,0,no,0,0,0,34.868,816,1,0,0,0,1,small,OwGLNgIMtE,spam
0,1,0,0,2012-02-13 22:01:27,0,0,0,no,0,0,0,10.761,299,1,0,1,0,0,small,ra4IJIwiBU,spam
0,1,0,0,2012-01-31 11:11:14,0,0,7,no,0,0,0,2.561,15,0,0,1,0,1,small,a3cVRu7tnm,not_spam
0,0,0,0,2012-01-25 13:23:05,0,0,2,no,0,0,0,1.296,37,0,0,0,0,0,big,ZENX1dHBlH,spam
0,1,0,1,2012-01-23 14:52:04,0,0,12,no,0,0,0,10.403,257,1,1,1,0,10,small,RUgLIP6BGo,not_spam
0,1,0,0,2012-02-24 20:40:46,0,0,0,no,0,0,4,11.345,169,1,0,0,0,5,small,nA7UT7oxtK,not_spam
0,1,0,1,2012-01-28 07:30:05,0,0,0,no,0,0,0,12.985,347,1,1,1,0,34,small,eEOeDQbIpu,not_spam
0,1,0,1,2012-03-22 18:04:36,0,0,0,no,0,0,0,6.226,130,1,1,0,0,10,small,6R2BksO9ko,not_spam
0,1,1,0,2012-03-12 09:47:53,0,0,0,no,0,0,0,16.776,329,1,1,0,0,0,big,OcEJ5Hk7p1,not_spam
1,1,0,1,2012-03-05 06:03:44,2,2,0,no,0,0,0,17.402,552,1,1,0,0,21,big,QN7jVaEdrl,spam
0,1,16,1,2012-03-01 08:31:04,0,0,0,no,0,0,0,4.446,133,1,1,0,0,2,small,HRnJmVj81v,not_spam
0,1,0,0,2012-03-29 15:23:22,0,0,8,no,0,0,0,13.346,206,1,0,1,0,14,small,RKkmYm9yw5,spam
0,1,0,1,2012-03-21 06:18:46,0,0,0,no,0,0,0,5.476,126,1,1,1,0,4,small,12hrJA8Zck,spam
0,1,2,0,2012-03-29 10:32:41,0,0,0,no,0,0,0,0.362,13,0,0,0,0,0,small,2FBzJD1XRE,not_spam
0,1,0,0,2012-03-22 12:30:07,0,0,0,no,0,0,0,3.764,84,1,0,0,0,0,small,ytLq3AA6zw,not_spam
0,1,0,1,2012-02-05 13:27:58,0,0,0,no,0,0,0,5.113,113,1,1,0,0,2,small,BLHb8yJD8z,spam
0,1,0,0,2012-01-31 14:56:36,0,0,1,no,0,0,0,0.262,11,0,0,0,0,0,big,0hp5RhnZVw,not_spam
0,1,0,0,2012-03-27 13:04:56,0,0,10,no,0,0,0,74.753,1953,1,0,0,0,27,small,usyPGKhFNg,spam
0,1,0,1,2012-01-04 07:10:01,0,0,0,no,0,0,0,31.112,875,1,1,0,0,16,small,5srwSw2om9,not_spam
1,1,0,0,2012-03-06 09:03:41,0,0,0,no,0,0,0,0.409,13,0,0,0,0,1,small,oMDmR1zoVC,not_spam
0,1,0,1,2012-01-31 13:45:37,0,0,0,no,0,0,0,3.494,106,1,1,0,0,4,small,AXxIlswkKy,not_spam
0,1,0,0,2012-02-06 17:15:12,0,0,2,no,0,0,0,3.261,50,1,0,0,0,0,small,sNCgx6JtwQ,spam
0,1,0,1,2012-03-27 06:44:09,0,0,0,no,0,0,0,1.987,72,0,1,0,0,4,small,KyVOk6M4PO,spam
0,1,0,0,2012-03-02 13:34:42,0,0,0,no,0,0,0,25.685,644,1,0,0,0,3,small,LJdHaWL35d,spam
1,1,0,0,2012-03-21 11:49:31,0,1,0,no,0,0,0,8.29,143,0,0,0,0,1,small,OZQiNQOPNs,spam
0,1,3,1,2012-01-30 10:24:02,0,0,0,no,0,0,0,3.078,93,1,1,1,0,14,small,hhF2Wckow0,spam
1,1,0,0,2012-02-03 10:55:18,0,0,0,no,0,0,0,0.979,24,0,0,0,0,0,small,wuCn1Gqyfl,not_spam
0,1,0,0,2012-02-19 22:05:24,0,0,0,no,0,0,0,24.751,630,1,0,0,0,2,small,A4azGM5jA9,spam
0,1,0,0,2012-01-16 08:03:13,0,0,12,no,1,0,0,11.626,266,1,0,0,0,7,small,RR6HQDwUzc,not_spam
1,1,0,0,2012-01-04 13:49:46,0,0,0,no,0,0,0,8.347,202,1,0,0,0,5,big,LVr9Igs0Sg,spam
0,1,0,0,2012-01-20 20:53:25,0,0,1,no,1,0,0,1.868,34,0,0,0,0,0,none,kNcdBakieR,not_spam
1,1,0,1,2012-03-08 19:17:00,0,3,0,no,0,0,0,0.731,21,1,0,0,0,2,none,9i7rCUvSsW,spam
0,1,0,1,2012-01-17 12:55:31,0,0,0,no,0,0,0,0.609,16,0,0,0,0,4,none,mHqqjmtdNw,spam
0,1,0,0,2012-01-18 09:25:59,0,0,10,no,0,0,0,8.002,137,1,0,1,0,10,small,zu3kjpwL2c,not_spam
0,1,1,1,2012-01-13 08:24:54,0,0,4,no,0,0,0,10.259,259,1,1,0,0,12,small,HcRBxhAraf,spam
0,1,0,0,2012-01-03 03:14:51,0,0,0,no,0,0,1,0.978,14,0,0,0,0,0,small,AQPOaNuUv2,not_spam
0,1,0,0,2012-01-24 12:29:14,0,0,0,no,0,0,0,33.115,781,1,0,0,0,1,small,tWCNQMPZHz,spam
0,1,0,0,2012-03-20 17:01:57,0,0,5,no,0,0,0,21.68,519,1,0,0,0,8,small,m5H3V28h1v,not_spam
0,1,1,0,2012-01-01 19:16:39,0,0,0,no,0,0,0,3.959,81,0,1,0,0,1,small,ZcNN3E3fSi,not_spam
0,1,0,0,2012-02-16 09:03:36,0,0,0,no,0,0,0,0.517,20,1,0,0,0,2,none,LrWlYz1Arp,not_spam
0,1,0,0,2012-02-06 22:55:08,0,0,0,no,0,0,0,2.311,59,1,0,0,0,1,small,HmpkEzkoGf,spam
0,1,0,1,2012-03-20 18:31:18,0,0,0,no,0,0,0,0.401,11,0,1,0,0,0,small,6UfVLzFMcf,spam
1,1,0,0,2012-01-07 09:56:20,0,0,0,no,0,0,0,1.683,34,1,0,1,0,6,small,AZXcPQsbt8,not_spam
0,1,0,0,2012-02-29 05:59:20,0,0,2,no,0,0,0,25.263,338,1,0,1,0,10,small,F9Aks8uuYV,spam
1,1,0,0,2012-01-27 06:16:39,0,0,0,no,0,0,0,5.627,134,1,0,0,0,5,big,WWpxPw1SXj,spam
0,1,0,0,2012-03-21 10:02:52,0,0,22,no,1,0,0,28.037,527,1,0,0,0,30,small,qTSZuWMoAV,not_spam
0,1,0,0,2012-03-14 07:42:45,0,0,0,no,1,0,0,0.232,3,1,0,0,0,0,none,IUYVpF0GPI,spam
0,1,0,0,2012-02-20 20:44:11,0,0,0,no,0,0,0,0.702,14,0,0,0,0,0,none,ULkZLivEcI,spam
0,1,1,1,2012-01-18 08:54:38,0,0,0,no,0,0,0,11.412,259,1,1,0,0,2,small,ZroZcu8MuA,not_spam
0,1,0,1,2012-01-18 09:35:30,0,0,0,no,0,0,0,15.265,348,1,0,0,0,2,big,9QvZbToMxa,spam
0,1,1,0,2012-03-15 14:20:50,0,0,0,no,0,0,0,15.469,409,1,0,0,0,5,small,WtzI80S9Qo,spam
0,1,0,0,2012-01-17 05:58:13,0,0,0,no,0,0,0,34.104,608,1,0,0,0,0,small,OrnWwzE8ms,spam
0,1,0,0,2012-01-29 18:55:51,0,0,0,no,0,0,0,1.222,30,0,0,0,0,0,small,NFle4qyzgc,not_spam
0,1,0,0,2012-02-12 07:36:51,0,0,0,no,0,0,0,25.926,649,1,0,1,0,4,small,PSbZ5uGijv,spam
0,1,0,0,2012-02-28 04:00:04,0,0,0,no,0,0,0,3.566,96,1,0,0,0,1,small,1F8BaE2B0h,spam
0,1,0,0,2012-02-17 10:34:16,0,0,0,no,0,0,0,25.907,650,1,0,0,0,1,small,xHXIwNTtoB,spam
0,1,0,0,2012-01-27 04:29:51,0,0,0,no,0,0,0,10.824,353,1,0,0,0,2,small,itGNEzySll,spam
0,1,0,0,2012-02-18 10:03:11,0,0,0,no,0,0,0,0.814,20,0,0,0,0,0,none,RzAV2tlaf5,not_spam
0,1,0,1,2012-01-10 11:59:52,0,0,0,no,0,0,0,0.215,6,0,1,0,0,0,none,hDkLjbDiWh,not_spam
1,1,0,0,2012-03-27 14:11:34,0,0,0,no,0,0,0,4.614,51,0,0,0,0,0,small,eCAuWmcyku,not_spam
0,1,1,1,2012-03-14 08:07:20,0,0,0,no,0,0,0,2.973,89,0,1,0,0,1,small,2foWD4AN7e,not_spam
0,1,0,0,2012-02-27 12:26:09,0,0,4,no,0,0,0,15.757,351,1,0,0,0,2,big,IXdTi56T8A,not_spam
0,1,0,0,2012-02-27 08:04:50,0,0,16,no,1,0,0,20.214,404,1,0,0,0,21,small,LHGAQYQOsQ,not_spam
0,1,0,0,2012-01-10 05:07:54,0,0,13,no,0,0,0,16.103,363,1,0,1,0,2,small,A3hPOg2uwz,not_spam
0,1,0,1,2012-03-29 05:26:16,0,0,0,no,0,0,0,0.622,17,0,1,0,0,2,small,JfbohF1ezw,not_spam
1,1,0,0,2012-02-03 07:21:43,1,2,0,no,0,0,0,6.433,141,1,0,0,0,1,small,qPOqZZDp2g,spam
0,1,2,0,2012-01-31 13:21:51,0,0,1,no,0,0,0,5.856,237,1,0,0,0,1,small,YqesD0vnc1,spam
0,1,0,1,2012-03-31 06:58:56,0,0,0,no,0,0,0,5.229,88,1,1,0,0,2,small,yxWYdjBRBm,spam
0,1,0,0,2012-03-07 08:02:12,0,0,16,no,1,0,0,20.878,411,1,0,0,0,22,small,Z4oEHAz4Vi,not_spam
1,1,0,1,2012-03-12 17:57:51,1,1,0,no,0,0,0,1.204,28,1,0,0,0,6,small,c3oNTQoUGG,not_spam
0,1,0,0,2012-01-18 11:47:45,0,0,4,no,0,0,0,0.984,33,0,0,0,0,1,small,pRmTskMtfy,spam
0,1,0,0,2012-01-25 15:02:37,0,0,0,no,0,0,0,26.588,659,1,0,0,0,1,small,lgWwp2adJB,not_spam
0,1,0,0,2012-03-04 15:11:21,0,0,0,no,0,0,0,13.14,188,0,0,0,0,0,none,UcnfxKyKNR,spam
0,1,0,0,2012-03-09 08:26:30,0,0,0,no,0,0,0,3.353,78,1,0,0,0,5,small,qMduIbxGuu,not_spam
